year,lstm_survival_rate,dml_adjusted_rate,cf_adjusted_rate,ensemble_survival_rate,prediction_uncertainty,ci_lower,ci_upper,GDP_Growth,Unemployment,Inflation,scenario,scenario_description
2023,0.91507155,0.8766739960247555,0.9175295482325521,0.9173092679819449,0.018707068893920258,0.8806434129498611,0.9539751230140286,0.6092816,5.933426,0.50893956,no_policy,No policy changes (baseline)
2024,0.9147991,0.8764015431934872,0.9172570954012838,0.9170368146094592,0.018707068893920258,0.8803709595773754,0.9537026696415429,0.6127145,5.9323955,0.494497,no_policy,No policy changes (baseline)
2025,0.91443986,0.8760423059994259,0.9168978582072225,0.9166775778156656,0.018707068893920258,0.8800117227835819,0.9533434328477494,0.614916,5.93935,0.49276316,no_policy,No policy changes (baseline)
2026,0.9140287,0.8756311531597653,0.9164867053675618,0.9162664245840755,0.018707068893920258,0.8796005695519917,0.9529322796161592,0.615748,5.954599,0.4971917,no_policy,No policy changes (baseline)
2027,0.91368824,0.8752906914288082,0.9161462436366048,0.9159259634661082,0.018707068893920258,0.8792601084340245,0.952591818498192,0.6208078,5.974273,0.50381637,no_policy,No policy changes (baseline)
2023,0.91507155,0.8766739960247555,0.9175295482325521,0.917354022405698,0.02070706889392026,0.8767681673736143,0.9579398774377816,0.6092816,5.933426,0.50893956,moderate_tax_cut,2% tax cut in year 1
2024,0.9147991,0.8764015431934872,0.9172570954012838,0.9170815690332123,0.02070706889392026,0.8764957140011286,0.9576674240652959,0.6127145,5.9323955,0.494497,moderate_tax_cut,2% tax cut in year 1
2025,0.91443986,0.8760423059994259,0.9168978582072225,0.9167223322394187,0.02070706889392026,0.876136477207335,0.9573081872715024,0.614916,5.93935,0.49276316,moderate_tax_cut,2% tax cut in year 1
2026,0.9140287,0.8756311531597653,0.9164867053675618,0.9163111790078285,0.02070706889392026,0.8757253239757449,0.9568970340399122,0.615748,5.954599,0.4971917,moderate_tax_cut,2% tax cut in year 1
2027,0.91368824,0.8752906914288082,0.9161462436366048,0.9159707178898613,0.02070706889392026,0.8753848628577776,0.956556572921945,0.6208078,5.974273,0.50381637,moderate_tax_cut,2% tax cut in year 1
2023,0.91507155,0.8766739960247555,0.9175295482325521,0.9174211540413276,0.02370706889392026,0.870955299009244,0.9638870090734113,0.6092816,5.933426,0.50893956,aggressive_tax_cut,5% tax cut in year 1
2024,0.9147991,0.8764015431934872,0.9172570954012838,0.9171487006688419,0.02370706889392026,0.8706828456367582,0.9636145557009256,0.6127145,5.9323955,0.494497,aggressive_tax_cut,5% tax cut in year 1
2025,0.91443986,0.8760423059994259,0.9168978582072225,0.9167894638750483,0.02370706889392026,0.8703236088429647,0.963255318907132,0.614916,5.93935,0.49276316,aggressive_tax_cut,5% tax cut in year 1
2026,0.9140287,0.8756311531597653,0.9164867053675618,0.9163783106434582,0.02370706889392026,0.8699124556113745,0.9628441656755419,0.615748,5.954599,0.4971917,aggressive_tax_cut,5% tax cut in year 1
2027,0.91368824,0.8752906914288082,0.9161462436366048,0.9160378495254909,0.02370706889392026,0.8695719944934073,0.9625037045575746,0.6208078,5.974273,0.50381637,aggressive_tax_cut,5% tax cut in year 1
2023,0.91507155,0.8766739960247555,0.9175295482325521,0.9173316451938215,0.01970706889392026,0.8787057901617378,0.9559575002259052,0.6092816,5.933426,0.50893956,phased_tax_cut,1% tax cut annually for 3 years
2024,0.9147991,0.8764015431934872,0.9172570954012838,0.9170815690332123,0.02070706889392026,0.8764957140011286,0.9576674240652959,0.6127145,5.9323955,0.494497,phased_tax_cut,1% tax cut annually for 3 years
2025,0.91443986,0.8760423059994259,0.9168978582072225,0.9167447094512953,0.021707068893920257,0.8741988544192115,0.959290564483379,0.614916,5.93935,0.49276316,phased_tax_cut,1% tax cut annually for 3 years
2026,0.9140287,0.8756311531597653,0.9164867053675618,0.9162664245840755,0.018707068893920258,0.8796005695519917,0.9529322796161592,0.615748,5.954599,0.4971917,phased_tax_cut,1% tax cut annually for 3 years
2027,0.91368824,0.8752906914288082,0.9161462436366048,0.9159259634661082,0.018707068893920258,0.8792601084340245,0.952591818498192,0.6208078,5.974273,0.50381637,phased_tax_cut,1% tax cut annually for 3 years
2023,0.91507155,0.8766739960247555,0.9175295482325521,0.9172421363463152,0.021707068893920257,0.8746962813142315,0.959787991378399,0.6092816,5.933426,0.50893956,tax_increase,3% tax increase for deficit reduction
2024,0.9147991,0.8764015431934872,0.9172570954012838,0.9169696829738295,0.021707068893920257,0.8744238279417458,0.9595155380059133,0.6127145,5.9323955,0.494497,tax_increase,3% tax increase for deficit reduction
2025,0.91443986,0.8760423059994259,0.9168978582072225,0.916610446180036,0.021707068893920257,0.8740645911479522,0.9591563012121197,0.614916,5.93935,0.49276316,tax_increase,3% tax increase for deficit reduction
2026,0.9140287,0.8756311531597653,0.9164867053675618,0.9161992929484458,0.021707068893920257,0.8736534379163621,0.9587451479805296,0.615748,5.954599,0.4971917,tax_increase,3% tax increase for deficit reduction
2027,0.91368824,0.8752906914288082,0.9161462436366048,0.9158588318304786,0.021707068893920257,0.8733129767983948,0.9584046868625623,0.6208078,5.974273,0.50381637,tax_increase,3% tax increase for deficit reduction
